x,y,z,id,group1,group2,group3,group4,group5,group6,group7,group8,group9,group10,group11,group12,group13,group14,group15,group16,group17,group18,group19,group20,group21
1,3,434.22408026756,434.22408026756,1092597778849.3,24927878950885,11120119984367,15184326722352,4445201149758.9,5804493427033.3,4216754590302.9,4042997588196.7,3800900952472,3456017856882.7,2175084067047.8,4819466601601.8,2405406871845.3,2838348600845.3,3023671722336.9,3756549206131.1,6932119364782.3,2053599786318.4,1483592828813.3,235534000971.89,67985627129.102
1,3,437.8127090301,437.8127090301,1094113545088.4,24962460395379,11135546169751,15205390317956,4451367451757.2,5812545226380.3,4222603884142.2,4048605809669.2,3806173309700.6,3460811778364.4,2178101159678.5,4826151674837.2,2408743381743.2,2842285599021.3,3027865712154.3,3761759625681.9,6941734212037.1,2056448108084.7,1485650550675.8,235860682729.88,68079922161.278
1,3,441.40133779264,441.40133779264,1095516649815.4,24994471422043,11149825707960,15224888177466,4457075384752,5819998491204,4228018363511.1,4053797133047.6,3811053732210.4,3465249327573.9,2180893965105,4832339779846.4,2411831853234.8,2845929914471.6,3031747908133,3766582676960.7,6950634229565.5,2059084665409,1487555286353.9,236163076516.68,68167206602.17
1,3,444.98996655518,444.98996655518,1096919754542.3,25026482448706,11164105246168,15244386036975,4462783317746.7,5827451756027.7,4233432842879.9,4058988456426,3815934154720.1,3469686876783.3,2183686770531.6,4838527884855.6,2414920324726.3,2849574229921.8,3035630104111.6,3771405728239.5,6959534247094,2061721222733.3,1489460022032.1,236465470303.48,68254491043.062
1,3,448.57859531773,448.57859531773,1098217551194,25056090830601,11177312980098,15262420358415,4468062800259,5834345553802.7,4238440888997.4,4063790093547.6,3820448224987.4,3473791315003.2,2186269928544.8,4844251460103.5,2417776947987.2,2852944966941.5,3039220858069.1,3775866696222.3,6967766094778.1,2064159838378.7,1491221757583.1,236745161497.86,68335222503.741
1,3,452.16722408027,452.16722408027,1099498693693.1,25085319241518,11190351211434,15280223225751,4473274524628,5841150873562.1,4243384658929.8,4068530102970.4,3824904357759.6,3477843072731.1,2188819931455.9,4849901571379.7,2420596905154.2,2856272438362.8,3042765521355.6,3780270401830.7,6975892273429.3,2066567150148.4,1492960878098,237021262346.16,68414917630.489
1,3,455.75585284281,455.75585284281,1100699866970.5,25112723124555,11202575532981,15296914707938,4478160891261.8,5847531344004.2,4248019790732.7,4072974191675.3,3829082289284.3,3481641872049.6,2191210731959.3,4855198927354.3,2423240801094.1,2859392159440,3046088869092.4,3784399148409.1,6983511057049.1,2068824148901.1,1494591407121.6,237280123290.88,68489636552.646
1,3,459.34448160535,459.34448160535,1101858674494.6,25139160416989,11214368664868,15313017405236,4482874891261.7,5853686739586,4252491413542.9,4077261508763.6,3833112836537.9,3485306660140.1,2193517190889.9,4860309402128.9,2425791424067.6,2862401819425.4,3049294969220.7,3788382228364.5,6990861035092,2071001515464.5,1496164407007.9,237529850952.96,68561719202.346
1,3,462.93311036789,462.93311036789,1102963020977.9,25164355161042,11225607504361,15328363222572,4487367314869.7,5859552802692.1,4256752846488.9,4081347296876.1,3836953922220.4,3488799177651.2,2195715229278.9,4865179642394.6,2428222145288.3,2865269996666.7,3052350348472.3,3792178055114.5,6997865465889.6,2073076515541.1,1497663453695.9,237767837861.92,68630412947.143
1,3,466.52173913043,466.52173913043,1103999149960,25187993498080,11236152041254,15342760977602,4491582193510.1,5865056450055.4,4260750997148.5,4085180651267.4,3840557689724.6,3492075910294.2,2197777460890.7,4869748966671.4,2430502678450.3,2867960953657.6,3055216935856.2,3795739329869.1,7004437066734.9,2075023292105.3,1499069867148.5,237991118389.41,68694861774.442
